Image,True Label,Predicted Label,Predicted Text
fallingtest_0_0000.jpg,0,0,No
fallingtest_0_0001.jpg,0,0,No
fallingtest_0_0002.jpg,0,0,No
fallingtest_0_0003.jpg,0,0,No
fallingtest_0_0004.jpg,0,0,No
fallingtest_0_0005.jpg,0,0,No
fallingtest_0_0006.jpg,0,0,No
fallingtest_0_0007.jpg,0,0,No
fallingtest_0_0008.jpg,0,0,No
fallingtest_0_0009.jpg,0,0,No
fallingtest_0_0010.jpg,0,0,No
fallingtest_0_0011.jpg,0,0,No
fallingtest_0_0012.jpg,0,0,No
fallingtest_0_0013.jpg,0,0,No
fallingtest_0_0014.jpg,0,0,No
fallingtest_0_0015.jpg,0,0,No
fallingtest_0_0016.jpg,0,0,No
fallingtest_0_0017.jpg,0,0,No
fallingtest_0_0018.jpg,0,0,No
fallingtest_0_0019.jpg,0,0,No
fallingtest_0_0020.jpg,0,0,No
fallingtest_0_0021.jpg,0,0,No
fallingtest_0_0022.jpg,0,0,No
fallingtest_0_0023.jpg,0,0,No
fallingtest_0_0024.jpg,0,0,No
fallingtest_0_0025.jpg,0,0,No
fallingtest_0_0026.jpg,0,0,No
fallingtest_0_0027.jpg,0,0,No
fallingtest_0_0028.jpg,0,0,No
fallingtest_0_0029.jpg,0,0,No
fallingtest_0_0030.jpg,0,0,No
fallingtest_0_0031.jpg,0,0,No
fallingtest_0_0032.jpg,0,0,No
fallingtest_0_0033.jpg,0,0,No
fallingtest_0_0034.jpg,0,0,No
fallingtest_0_0035.jpg,0,0,No
fallingtest_0_0036.jpg,0,0,No
fallingtest_0_0037.jpg,0,0,No
fallingtest_0_0038.jpg,0,0,No
fallingtest_0_0039.jpg,0,0,No
fallingtest_0_0040.jpg,0,0,No
fallingtest_0_0041.jpg,0,0,No
fallingtest_0_0042.jpg,0,0,No
fallingtest_0_0043.jpg,0,0,No
fallingtest_0_0044.jpg,0,0,No
fallingtest_0_0045.jpg,0,0,No
fallingtest_0_0046.jpg,0,0,No
